Store,POG,POGName,POGDescription,Aisle,Side,Sequence
391,8386832,D701_L00391_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),24,Right,1
393,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),36,Left,4
417,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),31,Left,3
424,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),24,Left,12
439,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),21,Right,8
449,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),13,Left,8
457,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),69,Right,3
458,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),23,Right,13
459,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),13,Left,9
460,8386819,D701_L00000_D03_C165_V681_F008_MX,HP 72IN HAIR CARE ACCESSORIES (FM),39,Right,1
462,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),23,Left,1
464,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),23,Left,9
482,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),28,Left,1
485,8386828,D701_L00000_D03_C165_V682_F012_MX,HP 84IN HAIR CARE ACCESSORIES (FM) ALASKA,16,Right,5
486,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),504 KPNR D,Right,1
516,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),31,Right,1
600,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),39,Right,1
603,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),20,Right,1
604,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),17,Right,5
605,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),16,Right,1
